new entry "Shout_AMER_Core_GenerateSource"
type "SkillData"
data "SkillType" "Shout"
data "ForGameMaster" "No"
data "IsEnemySkill" "No"
data "Ability" "None"
data "ActionPoints" "5"
data "Cooldown" "2"
data "Autocast" "No"
data "Requirements" "Combat"
data "Icon" "AMER_Skill_Prototrophize"
data "DisplayName" "Shout_AMER_Core_GenerateSource_DisplayName"
data "DisplayNameRef" "Prototrophize"
data "Description" "Shout_AMER_Core_GenerateSource_Description"
data "DescriptionRef" "<font size='19'>Tap the well of Source within you to generate an additional Source point, consuming 2 turns of Source Generation to do so. If you do not have enough turns of Source Generation or if you are already at maximum Source, extend the duration of your Source Generation by 1 turn instead.</font>  "
data "PrepareAnimationInit" "skill_prepare_divine_01_start"
data "PrepareAnimationLoop" "skill_prepare_divine_01_loop"
data "PrepareEffect" "RS3_FX_Skills_Soul_Prepare_Soul_Self_Hand_01:Dummy_R_Hand"
data "CastAnimation" "skill_cast_aoe_divine_01_cast"
data "CastTextEvent" "cast"
data "CastEffect" "RS3_FX_Skills_Soul_Cast_SpiritVision_Overlay_01:root;RS3_FX_Skills_Soul_Cast_Ghosts_Root_01:root:cast;RS3_FX_Skills_Soul_Cast_Soul_Self_Head_01:Dummy_CastFX:cast"
data "Memory Cost" "0"
data "Magic Cost" "0"
data "Stealth" "Yes"
data "IgnoreSilence" "Yes"

