new entry "Summon_SoulWolf"
type "SkillData"
data "SkillType" "Summon"
data "ForGameMaster" "Yes"
data "ActionPoints" "4"
data "Cooldown" "6"
data "Lifetime" "10"
data "SummonLevel" "-1"
data "Magic Cost" "1"
data "Template" "53f49a2d-36a1-4c47-8cef-91c0f3ae0ef9"
data "TargetRadius" "13"
data "SummonCount" "1"
data "Icon" "Skill_Origins_SoulWolf"
data "DisplayName" "Summon_SoulWolf_DisplayName"
data "DisplayNameRef" "Summon Ifan's Soul Wolf"
data "Description" "Summon_SoulWolf_Description"
data "DescriptionRef" "<font size='19'>Summon your loyal Soul Wolf, which can Howl and Bite enemies.</font>"
data "FXScale" "100"
data "PrepareAnimationInit" "skill_prepare_totem_01_start"
data "PrepareAnimationLoop" "skill_prepare_totem_01_loop"
data "PrepareEffect" "RS3_FX_Skills_Totem_Prepare_Totem_Root_01,KeepRot,Detach;RS3_FX_Skills_Totem_Prepare_Totem_Wolf_01:Dummy_OverheadFX;RS3_FX_Skills_Totem_Prepare_Totem_Dummy_01:Dummy_OverheadFX;RS3_FX_Skills_Totem_Prepare_Totem_Hand_01:Dummy_R_HandFX;RS3_FX_Skills_Totem_Prepare_Totem_Hand_01:Dummy_L_HandFX"
data "CastAnimation" "skill_cast_summon_totem_01_cast"
data "CastTextEvent" "cast"
data "CastEffect" "RS3_FX_Skills_Totem_Cast_Summon_Totem_Root_01:Dummy_Root;RS3_FX_Skills_Totem_Cast_Summon_Totem_Wolf_01:Dummy_OverheadFX;RS3_FX_Skills_Totem_Cast_Self_Totem_Root_01:Dummy_Root;RS3_FX_Skills_Totem_Cast_Self_Totem_Dummy_01:Dummy_OverheadFX"
data "CastEffectTextEvent" "cast"
data "TargetCastEffect" "RS3_FX_Skills_Totem_Impact_Summon_Ancestral_01"
data "TargetEffect" "RS3_FX_Skills_Totem_Target_Ancestral_01"
data "AiCalculationSkillOverride" "Target_DummyTargetSkill"

